cpu_emissions,gpu_emissions,epochs
0.6497184551122368,1.6770753404818366,20.0
0.6166526711685668,1.6864561242392782,19.0
0.6159801082509497,1.6874825531956579,18.0
0.6147056400410456,1.6909026677150931,17.0
0.6130019747544293,1.6864363816418826,16.0
0.6328209760224662,1.6807748163706713,15.0
0.6172303521704923,1.689128368337658,14.0
0.6118312219173936,1.6878501840846374,13.0
0.6173353242056401,1.688038441898083,12.0
0.619113737691661,1.686100559970955,11.0
0.6269545081821994,1.6865731797511139,10.0
0.6101467344282521,1.6850056923256704,9.0
0.6385498025770875,1.6804450343193387,8.0
0.6116030514484792,1.6867675392324653,7.0
0.6250642776605246,1.6828569136166935,6.0
0.6230968000567467,1.6801536892108229,5.0
0.6279644230201378,1.6922118988401331,4.0
0.6368408300724049,1.6777112518910913,3.0
0.6124617194460131,1.6849967597705193,2.0
0.646915203386297,1.7001383601284252,1.0
