cpu_emissions,gpu_emissions,epochs
0.10562656007326943,0.2899411061259254,20.0
0.10543805367587494,0.2896993141683306,19.0
0.10577736031843399,0.2898159781178784,18.0
0.10623448221913255,0.2901641457445799,17.0
0.10575481889057746,0.29002798948403086,16.0
0.10602253591176972,0.28946866501798224,15.0
0.10593400301242434,0.2895483805043211,14.0
0.10562637519541881,0.28948171914964627,13.0
0.1057260800307814,0.289070748357101,12.0
0.10563083034376736,0.2891039054946657,11.0
0.10618186909114415,0.28916593994099893,10.0
0.10638350269801904,0.2898154137480752,9.0
0.10636830082168908,0.28982906761947613,8.0
0.10606962100455224,0.2890914799792886,7.0
0.10607432342840735,0.28937162775692327,6.0
0.10564310261720011,0.28796412941493044,5.0
0.10574750392328322,0.2884229974001179,4.0
0.10613552218685438,0.2881133214354056,3.0
0.1065336241757793,0.2879777063400172,2.0
0.14971606488338812,0.3071180387780975,1.0
